Count,clean_text,tokens,Dominant Label
0,module transfer  module leader module  copy copy course  page another content appear  page apart content blog students upload materials every week way transfer  blog content  module page  support   <>    module transfer  clear  copy copy content module code module module code run  copy content   run either way exactly content folder  run blog    <>    module transfer   copy entire content module code module module code operation almost successful content appear  module page content blog class presentations   module entries available old      <>    module transfer   blackboard support link blog find anything specifically relate copy blog state blog view students enrol course sort make sense  copy students normally enrol different run module however   definitive answer  copy blog module module code run module code run  test course  result    link take information link   <>    module transfer  must talk previous  check colleague confirm copy blog although presence blog box course copy screen suggest   <>       module transfer   information guidance provide    note      say        click     <>,"['module', 'transfer', 'module', 'leader', 'module', 'copy', 'copy', 'course', 'page', 'another', 'content', 'appear', 'page', 'apart', 'content', 'blog', 'students', 'upload', 'materials', 'every', 'week', 'way', 'transfer', 'blog', 'content', 'module', 'page', 'support', 'module', 'transfer', 'clear', 'copy', 'copy', 'content', 'module', 'code', 'module', 'module', 'code', 'run', 'copy', 'content', 'run', 'either', 'way', 'exactly', 'content', 'folder', 'run', 'blog', 'module', 'transfer', 'copy', 'entire', 'content', 'module', 'code', 'module', 'module', 'code', 'operation', 'almost', 'successful', 'content', 'appear', 'module', 'page', 'content', 'blog', 'class', 'presentations', 'module', 'entries', 'available', 'old', 'module', 'transfer', 'blackboard', 'support', 'link', 'blog', 'find', 'anything', 'specifically', 'relate', 'copy', 'blog', 'state', 'blog', 'view', 'students', 'enrol', 'course', 'sort', 'make', 'sense', 'copy', 'students', 'normally', 'enrol', 'different', 'run', 'module', 'however', 'definitive', 'answer', 'copy', 'blog', 'module', 'module', 'code', 'run', 'module', 'code', 'run', 'test', 'course', 'result', 'link', 'take', 'information', 'link', 'module', 'transfer', 'must', 'talk', 'previous', 'check', 'colleague', 'confirm', 'copy', 'blog', 'although', 'presence', 'blog', 'box', 'course', 'copy', 'screen', 'suggest', 'module', 'transfer', 'information', 'guidance', 'provide', 'note', 'say', 'click']",VLE and Module
1, compromise manatee         might    send  address suppose hack     mailto  send november <>   compromise manatee  crack  address device months ago type passcode  web location visit intercept password  upon moment hack manatee clearly   even already  mean much personal malware modifie every  really consider make  personally find impossible since send mail  account  address upload malware computer code operation system save  along buddies fellow   plus entire record visit worldwideweb resources   virus system prey normally lock computers  ransom nonetheless end hit web page  content generally take  shock fantasy mean notice anything  consequently fun piquant location  mean create screenshot  program camera system put together content particular  view site certainly giggle send photos connections believe wish thus expect payment silence consider <cur><> appropriate cost  pay bitcoin bitcoin wallet address  understand enter google transfer money bitcoin wallet difficult   give amount data instantly eliminate automatically virus   rid operatingsystem computer virus possess auto alert  mail read give two days hrs make payment happen every  certainly  insane photos dark secret life system block well two days foolish  pal win support certain provide recommendation future key passwords risky location wish wisdom adios  <>   log  log  reference      compromise manatee     without modify  view   via self  portal  phone quote     location <phone>  <>     compromise manatee    common phishing attack treat empty threat better worse  address available public domain add password may recognise   previously probably reveal previous hack relate  linkdin yahoo etc  still recommend  password  passworduwe question    desk extension phone     <>           compromise manatee   guidance provide  note      say        click      location phone   <>,"['compromise', 'manatee', 'might', 'send', 'address', 'suppose', 'hack', 'mailto', 'send', 'november', 'compromise', 'manatee', 'crack', 'address', 'device', 'months', 'ago', 'type', 'passcode', 'web', 'location', 'visit', 'intercept', 'password', 'upon', 'moment', 'hack', 'manatee', 'clearly', 'even', 'already', 'mean', 'much', 'personal', 'malware', 'modifie', 'every', 'really', 'consider', 'make', 'personally', 'find', 'impossible', 'since', 'send', 'mail', 'account', 'address', 'upload', 'malware', 'computer', 'code', 'operation', 'system', 'save', 'along', 'buddies', 'fellow', 'plus', 'entire', 'record', 'visit', 'worldwideweb', 'resources', 'virus', 'system', 'prey', 'normally', 'lock', 'computers', 'ransom', 'nonetheless', 'end', 'hit', 'web', 'page', 'content', 'generally', 'take', 'shock', 'fantasy', 'mean', 'notice', 'anything', 'consequently', 'fun', 'piquant', 'location', 'mean', 'create', 'screenshot', 'program', 'camera', 'system', 'put', 'together', 'content', 'particular', 'view', 'site', 'certainly', 'giggle', 'send', 'photos', 'connections', 'believe', 'wish', 'thus', 'expect', 'payment', 'silence', 'consider', 'cur', 'appropriate', 'cost', 'pay', 'bitcoin', 'bitcoin', 'wallet', 'address', 'understand', 'enter', 'google', 'transfer', 'money', 'bitcoin', 'wallet', 'difficult', 'give', 'amount', 'data', 'instantly', 'eliminate', 'automatically', 'virus', 'rid', 'operatingsystem', 'computer', 'virus', 'possess', 'auto', 'alert', 'mail', 'read', 'give', 'two', 'days', 'hrs', 'make', 'payment', 'happen', 'every', 'certainly', 'insane', 'photos', 'dark', 'secret', 'life', 'system', 'block', 'well', 'two', 'days', 'foolish', 'pal', 'win', 'support', 'certain', 'provide', 'recommendation', 'future', 'key', 'passwords', 'risky', 'location', 'wish', 'wisdom', 'adios', 'log', 'log', 'reference', 'compromise', 'manatee', 'without', 'modify', 'view', 'via', 'self', 'portal', 'phone', 'quote', 'location', 'phone', 'compromise', 'manatee', 'common', 'phishing', 'attack', 'treat', 'empty', 'threat', 'better', 'worse', 'address', 'available', 'public', 'domain', 'add', 'password', 'may', 'recognise', 'previously', 'probably', 'reveal', 'previous', 'hack', 'relate', 'linkdin', 'yahoo', 'etc', 'still', 'recommend', 'password', 'passworduwe', 'question', 'desk', 'extension', 'phone', 'compromise', 'manatee', 'guidance', 'provide', 'note', 'say', 'click', 'location', 'phone']",Unclassifiable
2, reassign setup rove mikes room  lib opsbusadmin setup rove mikes room assign client  frenchay  check helpdesk staff check rove microphone setup possible room great    rove mike room ready session happen next week session   guest speaker tuesday   room  event      room <>    setup rove mikes room  room microphones steal  replacement part yesterday receive lapel mic handheld arrive sometime  standard room handheld mic lapel mic capacity increase  mics provision arrive  engineer fit however ongoing security devices  address rechargeable units return power charge dock  probably  library   hardware loan desk   <>    setup rove mikes room   receive     relate  rove mikes event  mention order replacement microphones    ensure page   advise per meet      lockable pin enable cabinets room room source replacement microphones handheld lapel room lockable cabinets locate charge point enable microphones lock away charge copy  handle order     confirm things order cabinets microphones room   <>    setup rove mikes room  microphone hardware engineer schedule pair lapel handheld mic room tomorrow receivers replace miss room colleague schedule install far unable source suitable lockable storage cabinets safes couple suppliers  something bespeak nothing confirm yet   <>    setup rove mikes room   confirm current status interim measure lockable cupboards source instal    microphones store location room location library ensure secure  grateful  liaise  copy     <>    setup rove mikes room  absolutely problem room confirm lapel handheld mic fee induction hear loop room ceiling speakers engineer go afternoon pair mic receiver take charge dock mics   patience resolve   <>    setup rove mikes room    sound great really appreciate   forward hear  room lockable cabinets due course  wish  <>          setup rove mikes room   hopefully everything go yesterday  note      say        click    <>,"['reassign', 'setup', 'rove', 'mikes', 'room', 'lib', 'opsbusadmin', 'setup', 'rove', 'mikes', 'room', 'assign', 'client', 'frenchay', 'check', 'helpdesk', 'staff', 'check', 'rove', 'microphone', 'setup', 'possible', 'room', 'great', 'rove', 'mike', 'room', 'ready', 'session', 'happen', 'next', 'week', 'session', 'guest', 'speaker', 'tuesday', 'room', 'event', 'room', 'setup', 'rove', 'mikes', 'room', 'room', 'microphones', 'steal', 'replacement', 'part', 'yesterday', 'receive', 'lapel', 'mic', 'handheld', 'arrive', 'sometime', 'standard', 'room', 'handheld', 'mic', 'lapel', 'mic', 'capacity', 'increase', 'mics', 'provision', 'arrive', 'engineer', 'fit', 'however', 'ongoing', 'security', 'devices', 'address', 'rechargeable', 'units', 'return', 'power', 'charge', 'dock', 'probably', 'library', 'hardware', 'loan', 'desk', 'setup', 'rove', 'mikes', 'room', 'receive', 'relate', 'rove', 'mikes', 'event', 'mention', 'order', 'replacement', 'microphones', 'ensure', 'page', 'advise', 'per', 'meet', 'lockable', 'pin', 'enable', 'cabinets', 'room', 'room', 'source', 'replacement', 'microphones', 'handheld', 'lapel', 'room', 'lockable', 'cabinets', 'locate', 'charge', 'point', 'enable', 'microphones', 'lock', 'away', 'charge', 'copy', 'handle', 'order', 'confirm', 'things', 'order', 'cabinets', 'microphones', 'room', 'setup', 'rove', 'mikes', 'room', 'microphone', 'hardware', 'engineer', 'schedule', 'pair', 'lapel', 'handheld', 'mic', 'room', 'tomorrow', 'receivers', 'replace', 'miss', 'room', 'colleague', 'schedule', 'install', 'far', 'unable', 'source', 'suitable', 'lockable', 'storage', 'cabinets', 'safes', 'couple', 'suppliers', 'something', 'bespeak', 'nothing', 'confirm', 'yet', 'setup', 'rove', 'mikes', 'room', 'confirm', 'current', 'status', 'interim', 'measure', 'lockable', 'cupboards', 'source', 'instal', 'microphones', 'store', 'location', 'room', 'location', 'library', 'ensure', 'secure', 'grateful', 'liaise', 'copy', 'setup', 'rove', 'mikes', 'room', 'absolutely', 'problem', 'room', 'confirm', 'lapel', 'handheld', 'mic', 'fee', 'induction', 'hear', 'loop', 'room', 'ceiling', 'speakers', 'engineer', 'go', 'afternoon', 'pair', 'mic', 'receiver', 'take', 'charge', 'dock', 'mics', 'patience', 'resolve', 'setup', 'rove', 'mikes', 'room', 'sound', 'great', 'really', 'appreciate', 'forward', 'hear', 'room', 'lockable', 'cabinets', 'due', 'course', 'wish', 'setup', 'rove', 'mikes', 'room', 'hopefully', 'everything', 'go', 'yesterday', 'note', 'say', 'click']",Hardware and Room
3,conference  facilities room next wednesday   book conference  facilities next  room room   confirm asap  lot  <>   log  log  reference     conference  facilities room next wednesday     without modify  view   via self  portal  phone quote    <>  reassign conference  facilities room next wednesday   conference  facilities room next wednesday assign client  location   open    <>    conference  facilities room next wednesday  conference phone   conference phone collect room helpdesk  plug  network point  <>    conference  facilities room next wednesday   ill come collet  <>     conference  facilities room next wednesday   open   <>    conference  facilities room next wednesday  wonder still conference phone   <>          conference  facilities room next wednesday   phone return  note      say        click    <>    conference  facilities room next wednesday borrow conference phone afternoon pick   <>   unresolved  conference  facilities room next wednesday  assign team open   <>,"['conference', 'facilities', 'room', 'next', 'wednesday', 'book', 'conference', 'facilities', 'next', 'room', 'room', 'confirm', 'asap', 'lot', 'log', 'log', 'reference', 'conference', 'facilities', 'room', 'next', 'wednesday', 'without', 'modify', 'view', 'via', 'self', 'portal', 'phone', 'quote', 'reassign', 'conference', 'facilities', 'room', 'next', 'wednesday', 'conference', 'facilities', 'room', 'next', 'wednesday', 'assign', 'client', 'location', 'open', 'conference', 'facilities', 'room', 'next', 'wednesday', 'conference', 'phone', 'conference', 'phone', 'collect', 'room', 'helpdesk', 'plug', 'network', 'point', 'conference', 'facilities', 'room', 'next', 'wednesday', 'ill', 'come', 'collet', 'conference', 'facilities', 'room', 'next', 'wednesday', 'open', 'conference', 'facilities', 'room', 'next', 'wednesday', 'wonder', 'still', 'conference', 'phone', 'conference', 'facilities', 'room', 'next', 'wednesday', 'phone', 'return', 'note', 'say', 'click', 'conference', 'facilities', 'room', 'next', 'wednesday', 'borrow', 'conference', 'phone', 'afternoon', 'pick', 'unresolved', 'conference', 'facilities', 'room', 'next', 'wednesday', 'assign', 'team', 'open']",Hardware and Room
4, room  seem lack function mfd  room  scan usb stick useful function especially large  page scan machine fail  usb slot scan store function available  room jpeg go menus  room jpeg seem function activate require username password    room jpeg show options previous machine  helpful function available newer model   grateful scan store function  activate possible   <>   log  log  reference      room     without modify  view   via self  portal  phone quote    <>  reassign  room    room assign print stationery scan store usb open    <>     room  sorry settings  adjust believe   give     note usb stick  large hard drive via usb far big small processor     either way   <>     room    might still cannot figure scan usb cannot  clear button  deeper menus recognise usb insert anything advice  much appreciate  <>      room   open    <>     room sorry hear still   check follwoing link ahs instructions sue system link still      someone take  kindest  <>     room  afraid still struggle attach photos various stag  instructions link send first thing  memory media press preferences display settings store location display settings store location display settings grey  photo  assume bite already go insert memory media acknowledge usb next step press scan store scan store icon  photo   access store file next    scan send pick usb location   might possible file grey  phot  sure matter think user guide send imagerunner advance   machine room   grateful   <>      room   open    <>     room  sorry problems still present scan usb standard function every printer install  canon case  someone either  visit sure depend canon helpdesk available require kindest reagrds <>,"['room', 'seem', 'lack', 'function', 'mfd', 'room', 'scan', 'usb', 'stick', 'useful', 'function', 'especially', 'large', 'page', 'scan', 'machine', 'fail', 'usb', 'slot', 'scan', 'store', 'function', 'available', 'room', 'jpeg', 'go', 'menus', 'room', 'jpeg', 'seem', 'function', 'activate', 'require', 'username', 'password', 'room', 'jpeg', 'show', 'options', 'previous', 'machine', 'helpful', 'function', 'available', 'newer', 'model', 'grateful', 'scan', 'store', 'function', 'activate', 'possible', 'log', 'log', 'reference', 'room', 'without', 'modify', 'view', 'via', 'self', 'portal', 'phone', 'quote', 'reassign', 'room', 'room', 'assign', 'print', 'stationery', 'scan', 'store', 'usb', 'open', 'room', 'sorry', 'settings', 'adjust', 'believe', 'give', 'note', 'usb', 'stick', 'large', 'hard', 'drive', 'via', 'usb', 'far', 'big', 'small', 'processor', 'either', 'way', 'room', 'might', 'still', 'cannot', 'figure', 'scan', 'usb', 'cannot', 'clear', 'button', 'deeper', 'menus', 'recognise', 'usb', 'insert', 'anything', 'advice', 'much', 'appreciate', 'room', 'open', 'room', 'sorry', 'hear', 'still', 'check', 'follwoing', 'link', 'ahs', 'instructions', 'sue', 'system', 'link', 'still', 'someone', 'take', 'kindest', 'room', 'afraid', 'still', 'struggle', 'attach', 'photos', 'various', 'stag', 'instructions', 'link', 'send', 'first', 'thing', 'memory', 'media', 'press', 'preferences', 'display', 'settings', 'store', 'location', 'display', 'settings', 'store', 'location', 'display', 'settings', 'grey', 'photo', 'assume', 'bite', 'already', 'go', 'insert', 'memory', 'media', 'acknowledge', 'usb', 'next', 'step', 'press', 'scan', 'store', 'scan', 'store', 'icon', 'photo', 'access', 'store', 'file', 'next', 'scan', 'send', 'pick', 'usb', 'location', 'might', 'possible', 'file', 'grey', 'phot', 'sure', 'matter', 'think', 'user', 'guide', 'send', 'imagerunner', 'advance', 'machine', 'room', 'grateful', 'room', 'open', 'room', 'sorry', 'problems', 'still', 'present', 'scan', 'usb', 'standard', 'function', 'every', 'printer', 'install', 'canon', 'case', 'someone', 'either', 'visit', 'sure', 'depend', 'canon', 'helpdesk', 'available', 'require', 'kindest', 'reagrds']",Hardware and Room
5,phone  frustrate polycom phone sign skype wont connect miss phone  people cause huge problem   asap  <>  reassign  polycom sign   location polycom sign assign client  regional assign open    <>     polycom sign  sorry hear  phone       press hold second keypad phone initiate reboot process take minutes phone appear stick reboot mins press home button twice phone phone reboot present login screen skype business make sure skype business run visible     wish <>     polycom sign   however resolve  uninstalling reinstall polycom software apologies tell appreciate    <>     polycom sign      occur phone reboot option  resolve  cheer <>           polycom sign   client confirm   phone  note      say        click     <>     polycom sign   <>      polycom sign   open    <>,"['phone', 'frustrate', 'polycom', 'phone', 'sign', 'skype', 'wont', 'connect', 'miss', 'phone', 'people', 'cause', 'huge', 'problem', 'asap', 'reassign', 'polycom', 'sign', 'location', 'polycom', 'sign', 'assign', 'client', 'regional', 'assign', 'open', 'polycom', 'sign', 'sorry', 'hear', 'phone', 'press', 'hold', 'second', 'keypad', 'phone', 'initiate', 'reboot', 'process', 'take', 'minutes', 'phone', 'appear', 'stick', 'reboot', 'mins', 'press', 'home', 'button', 'twice', 'phone', 'phone', 'reboot', 'present', 'login', 'screen', 'skype', 'business', 'make', 'sure', 'skype', 'business', 'run', 'visible', 'wish', 'polycom', 'sign', 'however', 'resolve', 'uninstalling', 'reinstall', 'polycom', 'software', 'apologies', 'tell', 'appreciate', 'polycom', 'sign', 'occur', 'phone', 'reboot', 'option', 'resolve', 'cheer', 'polycom', 'sign', 'client', 'confirm', 'phone', 'note', 'say', 'click', 'polycom', 'sign', 'polycom', 'sign', 'open']",Hardware and Room
6,outcome type datafix  data fix   wish <>          outcome type datafix    receive       automatically   instead log   check  ref datafix undergo test  note      say        click     <>,"['outcome', 'type', 'datafix', 'data', 'fix', 'wish', 'outcome', 'type', 'datafix', 'receive', 'automatically', 'instead', 'log', 'check', 'ref', 'datafix', 'undergo', 'test', 'note', 'say', 'click']",VLE and Module
7,appeal   receive  deal academic appeal  snumber say  fail award receive communications matter infohub   send august august attach way check actually send  account  prove    matter <>   log  log  reference     appeal   receive     without modify  view   via self  portal  phone quote    <>      appeal   receive  access infohub  attachments  advise account name  send title  perform  trace   <>      appeal   receive   attach   online    anything  <>     appeal   receive   open    <>  reassign  appeal   receive assign operations   trace two   reach student  open    <>      appeal   receive online believe  response   <>     appeal   receive   open    <>  reassign appeal   receive  appeal   receive assign  desk assign self open    <>    appeal   receive    run trace since learn trace tool unable tell  deliver   student tenancy include attachments result  far cheer <>,"['appeal', 'receive', 'deal', 'academic', 'appeal', 'snumber', 'say', 'fail', 'award', 'receive', 'communications', 'matter', 'infohub', 'send', 'august', 'august', 'attach', 'way', 'check', 'actually', 'send', 'account', 'prove', 'matter', 'log', 'log', 'reference', 'appeal', 'receive', 'without', 'modify', 'view', 'via', 'self', 'portal', 'phone', 'quote', 'appeal', 'receive', 'access', 'infohub', 'attachments', 'advise', 'account', 'name', 'send', 'title', 'perform', 'trace', 'appeal', 'receive', 'attach', 'online', 'anything', 'appeal', 'receive', 'open', 'reassign', 'appeal', 'receive', 'assign', 'operations', 'trace', 'two', 'reach', 'student', 'open', 'appeal', 'receive', 'online', 'believe', 'response', 'appeal', 'receive', 'open', 'reassign', 'appeal', 'receive', 'appeal', 'receive', 'assign', 'desk', 'assign', 'self', 'open', 'appeal', 'receive', 'run', 'trace', 'since', 'learn', 'trace', 'tool', 'unable', 'tell', 'deliver', 'student', 'tenancy', 'include', 'attachments', 'result', 'far', 'cheer']",VLE and Module
8,share inbox  access share mailbox  since yesterday  nobody else   restart computer etc avail  wish <>  log share inbox  log  reference     share inbox     without modify  view   via self  portal  phone  phone <> <> quote    <>     share inbox   cache exchange mode generic account switch     outlook click file account settings account settings highlight  address largest box screen click  settings  select advance tab untick download share folders click apply quit restart outlook generic account  automatically       <>     share inbox     much  wish <>    share inbox   open    <>      reference     share inbox    cache settings generic account  note      say        click     <>,"['share', 'inbox', 'access', 'share', 'mailbox', 'since', 'yesterday', 'nobody', 'else', 'restart', 'computer', 'etc', 'avail', 'wish', 'log', 'share', 'inbox', 'log', 'reference', 'share', 'inbox', 'without', 'modify', 'view', 'via', 'self', 'portal', 'phone', 'phone', 'quote', 'share', 'inbox', 'cache', 'exchange', 'mode', 'generic', 'account', 'switch', 'outlook', 'click', 'file', 'account', 'settings', 'account', 'settings', 'highlight', 'address', 'largest', 'box', 'screen', 'click', 'settings', 'select', 'advance', 'tab', 'untick', 'download', 'share', 'folders', 'click', 'apply', 'quit', 'restart', 'outlook', 'generic', 'account', 'automatically', 'share', 'inbox', 'much', 'wish', 'share', 'inbox', 'open', 'reference', 'share', 'inbox', 'cache', 'settings', 'generic', 'account', 'note', 'say', 'click']",Mail
9, user list       add faculties  user list   <>   log  log  reference      user list       without modify  view   via self  portal  phone quote    <>       user list    sure mean  user list  add    bucket   something different   <>       user list    wonder  advise whether    hear anything since last   wish <>      user list     open    <>           user list      add  fbl  bucket   log back  take effect   <>,"['user', 'list', 'add', 'faculties', 'user', 'list', 'log', 'log', 'reference', 'user', 'list', 'without', 'modify', 'view', 'via', 'self', 'portal', 'phone', 'quote', 'user', 'list', 'sure', 'mean', 'user', 'list', 'add', 'bucket', 'something', 'different', 'user', 'list', 'wonder', 'advise', 'whether', 'hear', 'anything', 'since', 'last', 'wish', 'user', 'list', 'open', 'user', 'list', 'add', 'fbl', 'bucket', 'log', 'back', 'take', 'effect']",VLE and Module
